"","UNQ_NO","Search.Query"
"10",10,"서울 커피빈"
"11",11,"서울 커핀그루나루"
"20",20,"서울 88옛날통닭"
"23",23,"서울 KFC"
"28",28,"서울 가마치통닭"
"69",69,"서울 교동전선생"
"72",72,"서울 구도로통닭"
"94",94,"서울 김밥천국"
"104",104,"서울 나누다키친"
"110",110,"서울 남영동양문"
"112",112,"서울 남자피자"
"132",132,"서울 달콤 왕가 탕후루"
"150",150,"서울 도로시파스타"
"174",174,"서울 둘둘치킨"
"177",177,"서울 디디치킨"
"182",182,"서울 땅땅치킨"
"196",196,"서울 라와마라탕"
"218",218,"서울 마왕족발"
"221",221,"서울 만랩커피"
"223",223,"서울 만족오향족발"
"232",232,"서울 맥주아비"
"237",237,"서울 메콩타이"
"249",249,"서울 모스버거"
"265",265,"서울 미친피자"
"274",274,"서울 바우네나주곰탕"
"284",284,"서울 배달삼겹돼지되지"
"304",304,"서울 별난주점"
"307",307,"서울 보드람치킨"
"336",336,"서울 빅스타피자"
"342",342,"서울 사위식당"
"343",343,"서울 사이공본가"
"346",346,"서울 삼백집"
"352",352,"서울 상해반점"
"377",377,"서울 소담촌"
"396",396,"서울 스노우폭스"
"413",413,"서울 싸움의고수"
"424",424,"서울 아사칸"
"434",434,"서울 애슐리퀸즈"
"448",448,"서울 여우애 김밥"
"468",468,"서울 오사카우동"
"480",480,"서울 와이디푸드"
"482",482,"서울 완미족발"
"486",486,"서울 요거프레소"
"490",490,"서울 용용선생"
"497",497,"서울 우이락"
"505",505,"서울 육대장"
"521",521,"서울 이삭토스트"
"525",525,"서울 이화수전통육개장"
"542",542,"서울 점심시간"
"556",556,"서울 죠샌드위치"
"585",585,"서울 청기와타운"
"599",599,"서울 춘리마라탕"
"610",610,"서울 카니발피자"
"622",622,"서울 커피인류"
"626",626,"서울 코바코"
"632",632,"서울 퀴즈노스"
"642",642,"서울 킹콩떡볶이"
"655",655,"서울 테그43"
"666",666,"서울 틈새라면"
"679",679,"서울 페리카나"
"681",681,"서울 포메인"
"693",693,"서울 프레드피자"
"694",694,"서울 프레퍼스 다이어트 푸드"
"704",704,"서울 피자스톰"
"710",710,"서울 피자헛"
"711",711,"서울 피자헤븐"
"729",729,"서울 한와담"
"731",731,"서울 한촌설렁탕"
"780",780,"부산 철판&부대찌개 브라더스"
"783",783,"부산 키친엑스"
"784",784,"부산 파리크라상"
"788",788,"부산 666버거"
"794",794,"부산 KFC"
"810",810,"부산 피자생각"
"817",817,"부산 경양카츠"
"827",827,"부산 고메스테이크"
"829",829,"부산 고봉민김밥인"
"841",841,"부산 교촌치킨"
"853",853,"부산 귀한족발"
"854",854,"부산 그램그램"
"855",855,"부산 그리너"
"864",864,"부산 김가네"
"872",872,"부산 깡돈"
"873",873,"부산 코리엔탈깻잎두마리치킨"
"877",877,"부산 남경반점"
"887",887,"부산 네모오징어"
"892",892,"부산 놀숲"
"893",893,"부산 누구나홀딱반한닭"
"902",902,"부산 달링스테이크"
"903",903,"부산 달콤 왕가 탕후루"
"911",911,"부산 대성반점"
"922",922,"부산 도미노피자"
"931",931,"부산 동경규동"
"939",939,"부산 동화반점"
"941",941,"부산 두끼"
"970",970,"부산 로봇김밥"
"980",980,"부산 리틀하노이"
"988",988,"부산 마약낙곱새"
"1005",1005,"부산 메가박스"
"1006",1006,"부산 메가MGC커피"
"1010",1010,"부산 멘무샤"
"1017",1017,"부산 명인만두"
"1018",1018,"부산 명품키친"
"1021",1021,"부산 목로주점"
"1027",1027,"부산 미라클푸드"
"1031",1031,"부산 미스터보쌈5378"
"1051",1051,"부산 발재반점"
"1054",1054,"부산 배달돼지"
"1058",1058,"부산 배떡"
"1071",1071,"부산 번개반점"
"1074",1074,"부산 베키아에누보"
"1089",1089,"부산 봉명동내커피"
"1112",1112,"부산 사미반점"
"1117",1117,"부산 삼백집"
"1119",1119,"부산 삼첩분식"
"1139",1139,"부산 서울반점"
"1143",1143,"부산 세광양대창"
"1171",1171,"부산 스쿨스토어"
"1185",1185,"부산 쌀똑핫도그"
"1188",1188,"부산 썬더치킨"
"1209",1209,"부산 양산도"
"1211",1211,"부산 얼맥당"
"1237",1237,"부산 오븐마루치킨"
"1238",1238,"부산 오븐에빠진닭"
"1243",1243,"부산 오한수 우육면가"
"1254",1254,"부산 완백부대찌개 삼겹살"
"1284",1284,"부산 윤이불닭발"
"1290",1290,"부산 이디야커피"
"1302",1302,"부산 인쌩맥주"
"1303",1303,"부산 일만족발"
"1309",1309,"부산 자연별곡"
"1313",1313,"부산 점심시간"
"1316",1316,"부산 제레미21"
"1319",1319,"부산 제일제면소"
"1328",1328,"부산 죠스떡볶이"
"1338",1338,"부산 진땡이"
"1348",1348,"부산 찰스숯불김밥"
"1356",1356,"부산 청기와타운"
"1371",1371,"부산 취향마라"
"1374",1374,"부산 치킨더비"
"1406",1406,"부산 크레이지후라이"
"1421",1421,"부산 탐앤탐스"
"1442",1442,"부산 파스타집이야"
"1450",1450,"부산 페리카나"
"1451",1451,"부산 평화반점"
"1459",1459,"부산 포트캔커피"
"1466",1466,"부산 플라잉볼"
"1494",1494,"부산 한사리감자탕&뼈구이"
"1496",1496,"부산 한식밥상"
"1498",1498,"부산 한신포차"
"1502",1502,"부산 한촌설렁탕"
"1519",1519,"부산 호호반점"
"1531",1531,"부산 화포식당"
"1546",1546,"대구 투뿔등심"
"1571",1571,"대구 가장맛있는족발"
"1589",1589,"대구 계경순대국"
"1595",1595,"대구 고기한끼"
"1597",1597,"대구 고래맥주창고"
"1598",1598,"대구 고메스테이크"
"1617",1617,"대구 국대떡볶이"
"1619",1619,"대구 국수나무"
"1631",1631,"대구 기소야"
"1670",1670,"대구 단골손님"
"1694",1694,"대구 도야짬뽕"
"1700",1700,"대구 돌배기집"
"1707",1707,"대구 동아반점"
"1713",1713,"대구 두마리찜닭 두찜"
"1731",1731,"대구 라공방"
"1733",1733,"대구 라떼킹"
"1735",1735,"대구 라무진"
"1744",1744,"대구 롸버트치킨"
"1750",1750,"대구 리춘시장"
"1784",1784,"대구 명동칼국수"
"1785",1785,"대구 명동할머니국수"
"1792",1792,"대구 목로주점"
"1800",1800,"대구 미소야"
"1806",1806,"대구 미아리우동집"
"1810",1810,"대구 밀포유"
"1814",1814,"대구 바른치킨"
"1818",1818,"대구 박가부대"
"1823",1823,"대구 밥풀릭스"
"1828",1828,"대구 배달의쌀국수"
"1834",1834,"대구 역전우동0410"
"1848",1848,"대구 보돌미역"
"1860",1860,"대구 봉명동내커피"
"1875",1875,"대구 비비고"
"1882",1882,"대구 빽보이피자"
"1884",1884,"대구 사위식당"
"1902",1902,"대구 생어거스틴"
"1911",1911,"대구 선비꼬마김밥"
"1913",1913,"대구 설빙"
"1941",1941,"대구 스시화"
"1945",1945,"대구 시올돈"
"1955",1955,"대구 싸움의고수"
"1964",1964,"대구 아비꼬"
"1996",1996,"대구 옐로우피자"
"2004",2004,"대구 오목집"
"2007",2007,"대구 오봉집"
"2028",2028,"대구 요거프레소"
"2036",2036,"대구 우리반점"
"2041",2041,"대구 원조감자탕"
"2059",2059,"대구 이나닭강정"
"2072",2072,"대구 인생아구찜"
"2078",2078,"대구 자담치킨"
"2084",2084,"대구 점심시간"
"2090",2090,"대구 제일제면소"
"2101",2101,"대구 중앙반점"
"2105",2105,"대구 지지고"
"2116",2116,"대구 차갑닭"
"2124",2124,"대구 처갓집양념치킨"
"2136",2136,"대구 청화반점"
"2154",2154,"대구 카페마마스"
"2158",2158,"대구 커스텀커피"
"2165",2165,"대구 컬투치킨"
"2180",2180,"대구 크리스피프레시"
"2185",2185,"대구 킹콩부대찌개"
"2198",2198,"대구 테트리스찜닭"
"2201",2201,"대구 토마토김밥"
"2207",2207,"대구 투썸플레이스"
"2209",2209,"대구 티바두마리치킨"
"2210",2210,"대구 파란만잔"
"2218",2218,"대구 팔공티"
"2231",2231,"대구 폴바셋"
"2234",2234,"대구 프랭크버거"
"2236",2236,"대구 프레퍼스 다이어트 푸드"
"2240",2240,"대구 피자나라치킨공주"
"2245",2245,"대구 피자스쿨"
"2249",2249,"대구 피자에땅"
"2255",2255,"대구 하남돼지집"
"2265",2265,"대구 한사리감자탕&뼈구이"
"2267",2267,"대구 한식밥상"
"2269",2269,"대구 한신포차"
"2289",2289,"대구 호토모토"
"2295",2295,"대구 홍수계찜닭"
"2305",2305,"대구 효자동설렁탕"
"2318",2318,"인천 스폰티니"
"2321",2321,"인천 리미니"
"2323",2323,"인천 커피빈"
"2359",2359,"인천 경양카츠"
"2361",2361,"인천 계동치킨"
"2363",2363,"인천 계절밥상"
"2364",2364,"인천 고기극찬"
"2365",2365,"인천 고기싸롱"
"2367",2367,"인천 고돼지"
"2368",2368,"인천 고래맥주창고"
"2395",2395,"인천 귀한족발"
"2396",2396,"인천 그램그램"
"2407",2407,"인천 김밥천국"
"2409",2409,"인천 김뿌라"
"2439",2439,"인천 다다코리아"
"2460",2460,"인천 덮다"
"2463",2463,"인천 도로시파스타"
"2464",2464,"인천 도미노피자"
"2485",2485,"인천 두성전주콩나물국밥"
"2502",2502,"인천 라공방"
"2506",2506,"인천 라무진"
"2523",2523,"인천 릴리펏"
"2538",2538,"인천 맘스터치"
"2543",2543,"인천 매운국물떡볶이 밀방떡"
"2550",2550,"인천 메콩타이"
"2567",2567,"인천 무쏘"
"2585",2585,"인천 바른치킨"
"2591",2591,"인천 반장즉석떡볶이"
"2593",2593,"인천 발재반점"
"2595",2595,"인천 밥플러스"
"2597",2597,"인천 배달삼겹돼지되지"
"2626",2626,"인천 본설렁탕"
"2628",2628,"인천 본죽&비빔밥café"
"2686",2686,"인천 세븐일레븐"
"2740",2740,"인천 아웃백스테이크하우스"
"2748",2748,"인천 얌샘김밥"
"2752",2752,"인천 어사출또"
"2755",2755,"인천 에그드랍"
"2815",2815,"인천 유가네닭갈비"
"2827",2827,"인천 은행골"
"2834",2834,"인천 이삭토스트"
"2836",2836,"인천 이차돌"
"2869",2869,"인천 죠샌드위치"
"2872",2872,"인천 중앙반점"
"2885",2885,"인천 쭈대가제육대가"
"2886",2886,"인천 찌마기"
"2890",2890,"인천 찰스숯불김밥"
"2896",2896,"인천 천호용궁알탕"
"2898",2898,"인천 청기와타운"
"2907",2907,"인천 청화반점"
"2911",2911,"인천 최배달떡순튀"
"2916",2916,"인천 치킨더비"
"2925",2925,"인천 카페마마스"
"2943",2943,"인천 콩카페"
"2972",2972,"인천 토마토김밥"
"2992",2992,"인천 페리카나"
"3012",3012,"인천 피자마루"
"3019",3019,"인천 피자애"
"3024",3024,"인천 피자헤븐"
"3026",3026,"인천 하남돼지집"
"3029",3029,"인천 하이카오산"
"3054",3054,"인천 형제반점"
"3060",3060,"인천 호토모토"
"3070",3070,"인천 홍콩반점0411"
"3082",3082,"인천 흥부찜닭"
"3085",3085,"광주 아웃백"
"3092",3092,"광주 리미니"
"3102",3102,"광주 7번가피자"
"3103",3103,"광주 88로타리집"
"3105",3105,"광주 BBQ치킨"
"3115",3115,"광주 감성커피"
"3126",3126,"광주 경성밥상"
"3129",3129,"광주 경아식당"
"3142",3142,"광주 고봉민김밥인"
"3143",3143,"광주 고씨네"
"3171",3171,"광주 금화왕돈까스"
"3175",3175,"광주 긴자료코"
"3176",3176,"광주 길동우동"
"3195",3195,"광주 남오토코"
"3206",3206,"광주 누구나홀딱반한닭"
"3213",3213,"광주 달떡볶이"
"3217",3217,"광주 달콤커피"
"3229",3229,"광주 더치앤빈 수육국밥"
"3244",3244,"광주 동경규동"
"3280",3280,"광주 라와마라탕"
"3292",3292,"광주 리춘시장"
"3296",3296,"광주 마라영웅"
"3297",3297,"광주 마라하오"
"3303",3303,"광주 마이쥬스"
"3315",3315,"광주 매화반점"
"3317",3317,"광주 먼슬리키친"
